id,name,code,parent_id/id,type,user_type/id,reconcile
ecosoft_account_62730,Education Travel,62730,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62740,Education Meals (50%),62740,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62790,Education Other - Book/Edu material/etc.,62790,ecosoft_account_62700,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62800,Administrative Expenses,62800,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62810,Pre-operating expense,62810,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62820,Bad Debts Write-off,62820,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62830,Fine and Penalties,62830,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62840,Donation,62840,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62851,Unrealized loss,62851,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62852,Realized loss,62852,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62890,Miscellaneous Expense,62890,ecosoft_account_62800,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62900,Depreciation,62900,ecosoft_account_62000,View,account.data_account_type_view,FALSE
ecosoft_account_62910,Office Equipment Depreciation,62910,ecosoft_account_62900,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62920,IT Equipment Depreciation,62920,ecosoft_account_62900,Regular,account.data_account_type_expense,FALSE
ecosoft_account_62980,Amortization,62980,ecosoft_account_62900,Regular,account.data_account_type_expense,FALSE
ecosoft_account_70000,Finance Expenses,70000,ecosoft_account_60000,View,account.data_account_type_view,FALSE
ecosoft_account_71000,Bank Service Charges,71000,ecosoft_account_70000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_72000,Other Service Charges,72000,ecosoft_account_70000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_73000,Interest Expense,73000,ecosoft_account_70000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_80000,Taxation,80000,ecosoft_account_60000,View,account.data_account_type_view,FALSE
ecosoft_account_81000,Unclaimed VAT,81000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_82000,Unclaimed Expense,82000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_83000,Unclaimed Penalties and Surcharges,83000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
ecosoft_account_84000,Corporate Income Tax,84000,ecosoft_account_80000,Regular,account.data_account_type_expense,FALSE
